layer_idx,step_idx,head_idx,plane_idx,reads_count
2,0,2,19,9
2,0,2,20,10
2,0,2,21,11
2,0,2,22,9
2,0,2,23,13
2,0,2,24,11
2,0,2,25,13
2,0,2,26,11
2,0,2,27,8
2,0,2,28,10
2,0,2,29,13
2,0,2,30,12
2,0,2,31,11
2,0,3,0,11
2,0,3,1,7
2,0,3,2,9
2,0,3,3,9
2,0,3,4,11
2,0,3,5,8
2,0,3,6,10
2,0,3,7,11
2,0,3,8,10
2,0,3,9,8
2,0,3,10,14
2,0,3,11,10
2,0,3,12,11
2,0,3,13,9
2,0,3,14,8
2,0,3,15,11
2,0,3,16,12
2,0,3,17,16
2,0,3,18,15
2,0,3,19,13
2,0,3,20,13
2,0,3,21,9
2,0,3,22,9
2,0,3,23,10
2,0,3,24,13
2,0,3,25,11
2,0,3,26,11
2,0,3,27,14
2,0,3,28,15
2,0,3,29,10
2,0,3,30,9
2,0,3,31,8
2,0,4,0,13
2,0,4,1,15
2,0,4,2,12
2,0,4,3,13
2,0,4,4,12
2,0,4,5,11
2,0,4,6,9
2,0,4,7,13
2,0,4,8,13
2,0,4,9,11
2,0,4,10,10
2,0,4,11,9
2,0,4,12,11
2,0,4,13,13
2,0,4,14,10
2,0,4,15,7
2,0,4,16,10
2,0,4,17,11
2,0,4,18,12
2,0,4,19,13
2,0,4,20,14
2,0,4,21,12
2,0,4,22,13
2,0,4,23,13
2,0,4,24,13
2,0,4,25,12
2,0,4,26,12
2,0,4,27,10
2,0,4,28,10
2,0,4,29,10
2,0,4,30,9
2,0,4,31,10
2,0,5,0,12
2,0,5,1,14
2,0,5,2,15
2,0,5,3,8
2,0,5,4,10
2,0,5,5,14
2,0,5,6,15
2,0,5,7,12
2,0,5,8,15
2,0,5,9,15
2,0,5,10,11
2,0,5,11,3
2,0,5,12,11
2,0,5,13,12
2,0,5,14,13
2,0,5,15,11
2,0,5,16,8
2,0,5,17,7
2,0,5,18,10
2,0,5,19,13
2,0,5,20,11
2,0,5,21,11
2,0,5,22,11
2,0,5,23,13
2,0,5,24,13
2,0,5,25,12
2,0,5,26,14
2,0,5,27,13
2,0,5,28,11
2,0,5,29,10
2,0,5,30,9
2,0,5,31,10
2,0,6,0,10
2,0,6,1,11
2,0,6,2,11
2,0,6,3,11
2,0,6,4,8
2,0,6,5,7
2,0,6,6,9
2,0,6,7,10
2,0,6,8,7
2,0,6,9,10
2,0,6,10,10
2,0,6,11,10
2,0,6,12,14
2,0,6,13,16
2,0,6,14,12
2,0,6,15,8
2,0,6,16,11
2,0,6,17,11
2,0,6,18,12
2,0,6,19,13
2,0,6,20,15
2,0,6,21,13
2,0,6,22,11
2,0,6,23,11
2,0,6,24,13
2,0,6,25,11
2,0,6,26,10
2,0,6,27,9
2,0,6,28,11
2,0,6,29,11
2,0,6,30,12
2,0,6,31,11
2,0,7,0,16
2,0,7,1,14
2,0,7,2,13
2,0,7,3,8
2,0,7,4,9
2,0,7,5,13
2,0,7,6,12
2,0,7,7,12
2,0,7,8,15
2,0,7,9,13
2,0,7,10,11
2,0,7,11,12
2,0,7,12,13
2,0,7,13,11
2,0,7,14,11
2,0,7,15,8
2,0,7,16,9
2,0,7,17,12
2,0,7,18,13
2,0,7,19,14
2,0,7,20,9
2,0,7,21,12
2,0,7,22,14
2,0,7,23,13
2,0,7,24,12
2,0,7,25,8
2,0,7,26,11
2,0,7,27,11
2,0,7,28,11
2,0,7,29,11
2,0,7,30,9
2,0,7,31,9
3,0,0,0,15
3,0,0,1,13
3,0,0,2,12
3,0,0,3,11
3,0,0,4,10
3,0,0,5,15
3,0,0,6,17
3,0,0,7,17
3,0,0,8,13
3,0,0,9,13
3,0,0,10,9
3,0,0,11,7
3,0,0,12,11
3,0,0,13,8
3,0,0,14,10
3,0,0,15,11
3,0,0,16,13
3,0,0,17,12
3,0,0,18,8
3,0,0,19,7
3,0,0,20,9
3,0,0,21,12
3,0,0,22,12
3,0,0,23,10
3,0,0,24,12
3,0,0,25,10
3,0,0,26,12
3,0,0,27,14
3,0,0,28,10
3,0,0,29,10
3,0,0,30,12
3,0,0,31,11
3,0,1,0,10
3,0,1,1,11
3,0,1,2,13
3,0,1,3,15
3,0,1,4,10
3,0,1,5,7
3,0,1,6,11
3,0,1,7,18
3,0,1,8,15
3,0,1,9,11
3,0,1,10,11
3,0,1,11,9
3,0,1,12,11
3,0,1,13,13
3,0,1,14,13
3,0,1,15,12
3,0,1,16,13
3,0,1,17,10
3,0,1,18,11
3,0,1,19,14
3,0,1,20,12
3,0,1,21,10
3,0,1,22,12
3,0,1,23,7
3,0,1,24,12
3,0,1,25,11
3,0,1,26,14
3,0,1,27,14
3,0,1,28,13
3,0,1,29,13
3,0,1,30,10
3,0,1,31,11
3,0,2,0,12
3,0,2,1,12
3,0,2,2,9
3,0,2,3,10
3,0,2,4,8
3,0,2,5,10
3,0,2,6,15
